	一月	二月	三月	四月	五月	六月	七月	八月	九月	十月	十一月	十二月
基本工资	23401.00 	23401.00 	25273.00 	25273.00 	25273.00 							
出差补贴	600.00 	0.00 	100.00 	0.00 	0.00 							
养老保险(个人)	1594.80 	1594.80 	1594.80 	1594.80 	1594.80 							
医疗(个人)	408.70 	408.70 	408.70 	408.70 	408.70 							
失业(个人)	99.68 	99.68 	99.68 	99.68 	99.68 							
公积金(个人)	2792.00 	2792.00 	2792.00 	2792.00 	2792.00 							
个人所得税	318.17 	300.17 	359.33 	1342.45 	1037.78 							
		618.35 	977.68 	2320.14 	3357.92 							
预扣预缴应纳税所得额	15605.82 	15005.82 	16977.82 	20811.82 	15377.82 							
	15605.82 	30611.64 	47589.46 	68401.28 	83779.10 							
	18787.65 	18205.65 	20118.49 	19035.37 	19340.04 							
